ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Solicitudes de Primer Ingreso Hombres;Solicitudes de Primer Ingreso Mujeres;Solicitudes de Primer Ingreso;Primer Ingreso Hombres;Primer Ingreso Mujeres;Primer Ingreso Total;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Egresados Hombres;Egresados Mujeres;Egresados Total
AGUASCALIENTES;TOTAL;13994;9313;10202;19515;5088;4680;9768;17839;18229;36068;2242;2896;5138
AGUASCALIENTES;ARQUITECTURA;131;214;165;379;42;42;84;308;225;533;27;20;47
AGUASCALIENTES;CONTADOR PÚBLICO;215;116;171;287;41;61;102;311;452;763;55;97;152
AGUASCALIENTES;INGENIERÍA AGROINDUSTRIAL;40;35;15;50;25;13;38;71;54;125;7;2;9
AGUASCALIENTES;INGENIERÍA AGRÓNOMO;40;48;12;60;31;8;39;86;24;110;4;0;4
AGUASCALIENTES;INGENIERÍA BIOQUÍMICA;50;61;61;122;23;26;49;98;107;205;11;23;34
AGUASCALIENTES;INGENIERÍA CIVIL;120;310;38;348;68;7;75;388;48;436;28;2;30
AGUASCALIENTES;INGENIERÍA ELÉCTRICA;80;75;5;80;59;4;63;169;6;175;0;0;0
AGUASCALIENTES;INGENIERÍA ELECTRÓNICA;140;112;4;116;108;3;111;384;24;408;61;7;68
AGUASCALIENTES;INGENIERÍA EN AGRONOMÍA;60;67;16;83;55;13;68;151;53;204;20;3;23
AGUASCALIENTES;INGENIERÍA EN COMPUTACIÓN INTELIGENTE;50;73;16;89;41;8;49;96;18;114;0;0;0
AGUASCALIENTES;INGENIERÍA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;80;25;55;80;0;0;0;158;304;462;45;111;156
AGUASCALIENTES;INGENIERÍA EN ELÉCTRICA;0;0;0;0;0;0;0;28;2;30;9;0;9
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA;120;135;8;143;119;7;126;354;26;380;0;0;0
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA Y SISTEMAS DIGITALES;10;39;4;43;9;0;9;19;1;20;1;0;1
AGUASCALIENTES;INGENIERÍA EN ENERGÍA;60;50;4;54;53;4;57;75;12;87;0;0;0
AGUASCALIENTES;INGENIERÍA EN GESTIÓN EMPRESARIAL;265;96;157;253;76;126;202;254;500;754;0;0;0
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN AGRÍCOLA SUSTENTABLE;30;27;8;35;27;8;35;67;15;82;0;0;0
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN Y DISEÑO;35;39;58;97;9;10;19;36;53;89;0;0;0
AGUASCALIENTES;INGENIERÍA EN INTELIGENCIA ARTIFICIAL;12;60;20;80;11;2;13;32;10;42;0;0;0
AGUASCALIENTES;INGENIERÍA EN LOGÍSTICA;80;14;18;32;10;14;24;48;68;116;0;0;0
AGUASCALIENTES;INGENIERÍA EN MANTENIMIENTO INDUSTRIAL;40;53;3;56;0;0;0;202;7;209;76;2;78
AGUASCALIENTES;INGENIERÍA EN MECATRÓNICA;325;367;67;434;200;20;220;847;100;947;137;14;151
AGUASCALIENTES;INGENIERÍA EN SISTEMAS;5;0;0;0;1;0;1;11;2;13;1;0;1
AGUASCALIENTES;INGENIERÍA EN SISTEMAS COMPUTACIONALES;180;199;62;261;116;33;149;420;94;514;44;18;62
AGUASCALIENTES;INGENIERÍA EN SISTEMAS DE COMPUTACIÓN;22;9;4;13;7;2;9;24;14;38;0;0;0
AGUASCALIENTES;INGENIERÍA EN SISTEMAS DE INFORMACIÓN ADMINISTRATIVOS;0;0;0;0;0;0;0;4;0;4;0;0;0
AGUASCALIENTES;INGENIERÍA EN SISTEMAS ESTRATÉGICOS DE INFORMACIÓN ESPECIALIZACIÓN EN REDES;60;74;16;90;49;16;65;129;36;165;18;6;24
AGUASCALIENTES;INGENIERÍA EN SISTEMAS PRODUCTIVOS;30;11;14;25;0;0;0;75;60;135;42;20;62
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN;160;136;75;211;116;49;165;239;104;343;0;0;0
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE INFORMACIÓN CON ESPECIALIDAD EN DESARROLLO DE SOFTWARE;60;35;30;65;35;30;65;70;53;123;0;0;0
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES;28;25;10;35;4;3;7;43;11;54;11;2;13
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;40;22;19;41;0;0;0;108;69;177;58;24;82
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES;80;35;15;50;32;12;44;47;20;67;0;0;0
AGUASCALIENTES;INGENIERÍA FINANCIERA Y FISCAL;0;0;0;0;0;0;0;27;65;92;8;30;38
AGUASCALIENTES;INGENIERÍA FISCAL Y FINANCIERA;20;10;14;24;9;13;22;12;24;36;7;14;21
AGUASCALIENTES;INGENIERÍA INDUSTRIAL;373;357;237;594;274;100;374;1118;459;1577;71;45;116
AGUASCALIENTES;INGENIERÍA INDUSTRIAL ADMINISTRADOR;0;0;0;0;0;0;0;5;1;6;10;3;13
AGUASCALIENTES;INGENIERÍA INDUSTRIAL ESTADÍSTICO;50;71;27;98;27;15;42;112;56;168;15;6;21
AGUASCALIENTES;INGENIERÍA INDUSTRIAL Y DE SISTEMAS;30;32;22;54;19;4;23;90;28;118;5;4;9
AGUASCALIENTES;INGENIERÍA MECÁNICA;100;254;2;256;157;1;158;469;11;480;58;0;58
AGUASCALIENTES;INGENIERÍA PROFESIONAL EN ROBÓTICA INDUSTRIAL;0;0;0;0;0;0;0;9;0;9;0;0;0
AGUASCALIENTES;INGENIERÍA QUÍMICA;0;0;0;0;0;0;0;18;22;40;6;10;16
AGUASCALIENTES;LICENCIATURA ASESOR PSICOPEDAGÓGICO;50;18;195;213;8;41;49;19;164;183;1;26;27
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN;213;68;82;150;70;81;151;360;501;861;31;85;116
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;489;295;342;637;189;205;394;452;507;959;69;91;160
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS;0;0;0;0;0;0;0;1;4;5;2;3;5
