ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;TOTAL;27904;25388;53292;7695;6892;14587;4788;4002;8790;3093;2229;5322
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN AUDITIVA Y DE LENGUAJE;55;5;60;0;0;0;21;4;25;21;4;25
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN FÍSICA;82;152;234;32;43;75;4;14;18;4;13;17
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN PREESCOLAR;537;2;539;139;0;139;109;0;109;106;0;106
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN PRIMARIA;931;140;1071;273;43;316;138;17;155;136;16;152
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN ESPAÑOL;65;25;90;0;0;0;17;6;23;17;6;23
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FORMACIÓN CÍVICA Y ÉTICA;15;9;24;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN HISTORIA;13;5;18;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN LENGUA EXTRANJERA (INGLÉS);47;9;56;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN MATEMÁTICAS;21;16;37;0;0;0;9;5;14;9;5;14
AGUASCALIENTES;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TELESECUNDARIA;9;13;22;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DE LA BIOLOGÍA EN EDUCACIÓN SECUNDARIA;40;14;54;28;7;35;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DE LA FORMACIÓN ÉTICA Y CIUDADANA EN EDUCACIÓN SECUNDARIA;19;6;25;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DE LA HISTORIA EN EDUCACIÓN SECUNDARIA;24;12;36;24;12;36;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DE LAS MATEMÁTICAS EN EDUCACIÓN SECUNDARIA;23;30;53;12;21;33;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DEL ESPAÑOL EN EDUCACIÓN SECUNDARIA;45;21;66;26;12;38;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE DEL INGLÉS EN EDUCACIÓN SECUNDARIA;35;25;60;13;13;26;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ENSEÑANZA Y APRENDIZAJE EN TELESECUNDARIA;36;29;65;19;18;37;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN INCLUSIÓN EDUCATIVA;51;7;58;26;5;31;0;0;0;0;0;0
AGUASCALIENTES;ARQUITECTURA;252;232;484;40;32;72;39;36;75;39;34;73
AGUASCALIENTES;CONTADOR PÚBLICO;538;316;854;67;31;98;170;78;248;97;48;145
AGUASCALIENTES;INGENIERÍA AGROINDUSTRIAL;11;12;23;0;0;0;16;11;27;18;10;28
AGUASCALIENTES;INGENIERÍA AGRÓNOMO;48;96;144;10;29;39;6;14;20;7;19;26
AGUASCALIENTES;INGENIERÍA AUTOMOTRIZ;16;316;332;3;93;96;1;43;44;1;30;31
AGUASCALIENTES;INGENIERÍA BIOMÉDICA;159;171;330;49;35;84;20;24;44;20;18;38
AGUASCALIENTES;INGENIERÍA BIOQUÍMICA;131;78;209;32;16;48;13;13;26;12;13;25
AGUASCALIENTES;INGENIERÍA CIVIL;89;404;493;15;58;73;14;84;98;11;80;91
AGUASCALIENTES;INGENIERÍA ELÉCTRICA;16;300;316;5;81;86;1;45;46;0;12;12
AGUASCALIENTES;INGENIERÍA ELECTRÓNICA;18;121;139;5;31;36;0;16;16;0;13;13
AGUASCALIENTES;INGENIERÍA EN AGRICULTURA SUSTENTABLE Y PROTEGIDA;15;34;49;0;0;0;3;16;19;0;0;0
AGUASCALIENTES;INGENIERÍA EN AGRONOMÍA;79;236;315;23;47;70;16;37;53;6;16;22
AGUASCALIENTES;INGENIERÍA EN ALIMENTOS;57;41;98;21;5;26;0;0;0;0;0;0
AGUASCALIENTES;INGENIERÍA EN BIOTECNOLOGÍA;57;40;97;15;8;23;8;2;10;3;1;4
AGUASCALIENTES;INGENIERÍA EN COMPUTACIÓN INTELIGENTE;30;181;211;7;42;49;7;20;27;7;18;25
AGUASCALIENTES;INGENIERÍA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;230;111;341;0;0;0;227;78;305;0;0;0
AGUASCALIENTES;INGENIERÍA EN DESARROLLO EMPRESARIAL Y DIRECCIÓN DE PROYECTOS;22;18;40;0;0;0;30;9;39;0;0;0
AGUASCALIENTES;INGENIERÍA EN DISEÑO MECÁNICO;13;72;85;4;9;13;1;16;17;0;6;6
AGUASCALIENTES;INGENIERÍA EN ELÉCTRICA;0;0;0;0;0;0;0;0;0;0;3;3
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA;101;663;764;28;179;207;10;85;95;5;27;32
AGUASCALIENTES;INGENIERÍA EN ELECTRÓNICA Y SISTEMAS DIGITALES;4;8;12;0;0;0;0;5;5;1;1;2
AGUASCALIENTES;INGENIERÍA EN ENERGÍA;76;100;176;30;47;77;10;25;35;6;5;11
AGUASCALIENTES;INGENIERÍA EN ENERGÍAS RENOVABLES;45;88;133;11;19;30;10;16;26;10;13;23
AGUASCALIENTES;INGENIERÍA EN GESTIÓN DE PROYECTOS;18;6;24;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;INGENIERÍA EN GESTIÓN EMPRESARIAL;1366;773;2139;289;161;450;149;125;274;124;44;168
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN AGRÍCOLA SUSTENTABLE;12;23;35;0;0;0;0;7;7;0;8;8
AGUASCALIENTES;INGENIERÍA EN INNOVACIÓN Y DISEÑO;71;24;95;19;6;25;9;6;15;14;5;19
AGUASCALIENTES;INGENIERÍA EN LOGÍSTICA;53;38;91;14;16;30;8;3;11;17;6;23
AGUASCALIENTES;INGENIERÍA EN LOGÍSTICA INTERNACIONAL;43;13;56;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;INGENIERÍA EN MANTENIMIENTO INDUSTRIAL;39;299;338;0;0;0;13;105;118;0;2;2
AGUASCALIENTES;INGENIERÍA EN MANUFACTURA Y AUTOMATIZACIÓN INDUSTRIAL;16;95;111;4;15;19;1;9;10;1;10;11
AGUASCALIENTES;INGENIERÍA EN MATERIALES;44;86;130;8;33;41;13;24;37;5;2;7
AGUASCALIENTES;INGENIERÍA EN MECATRÓNICA;203;981;1184;62;227;289;48;266;314;10;82;92
AGUASCALIENTES;INGENIERÍA EN METAL MECÁNICA;1;75;76;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;INGENIERÍA EN SISTEMAS COMPUTACIONALES;114;469;583;30;113;143;19;67;86;17;71;88
AGUASCALIENTES;INGENIERÍA EN SISTEMAS DE COMPUTACIÓN;0;8;8;0;0;0;0;0;0;0;1;1
