
Entidad,Año,Ins_total,Ins_Hombres,Ins_Mujeres,Total,Hombres,Mujeres,%_Total,%_Hombres,%_Mujeres
Nacional,2011,57137285,26284690,30852595,74500383,35474987,39025396,76.7,74.1,79.1
Aguascalientes,2011,512608,225244,287364,759037,351902,407135,67.5,64,70.6
Baja California,2011,1512570,747140,765430,2164168,1123902,1040266,69.9,66.5,73.6
Baja California Sur,2011,194136,85956,108180,446361,231390,214971,43.5,37.1,50.3
Campeche,2011,350134,149357,200777,550282,261808,288474,63.6,57,69.6
Coahuila de Zaragoza,2011,1433187,664750,768437,1837812,911303,926509,78,72.9,82.9
Colima,2011,299834,130327,169507,448217,213175,235042,66.9,61.1,72.1
Chiapas,2011,1795418,797162,998256,2885375,1373719,1511656,62.2,58,66
Chihuahua,2011,1944024,895121,1048903,2299634,1078978,1220656,84.5,83,85.9
Ciudad de México,2011,5843442,2744997,3098445,6548713,3090914,3457799,89.2,88.8,89.6
Durango,2011,833570,391529,442041,1034333,501539,532794,80.6,78.1,83
Guanajuato,2011,2483551,1183236,1300315,3559142,1731240,1827902,69.8,68.3,71.1
Guerrero,2011,1645658,727412,918246,2006414,902430,1103984,82,80.6,83.2
Hidalgo,2011,1226824,530819,696005,1722492,777037,945455,71.2,68.3,73.6
Jalisco,2011,3461544,1529560,1931984,4916191,2310795,2605396,70.4,66.2,74.2
México,2011,9339739,4482935,4856804,10259299,4881566,5377733,91,91.8,90.3
Michoacán de Ocampo,2011,1864107,780944,1083163,2804121,1294301,1509820,66.5,60.3,71.7
Morelos,2011,981141,417585,563556,1186928,531205,655723,82.7,78.6,85.9
Nayarit,2011,515483,231013,284470,722737,351372,371365,71.3,65.7,76.6
Nuevo León,2011,2849762,1341662,1508100,3223956,1554483,1669473,88.4,86.3,90.3
Oaxaca,2011,1596952,744027,852925,2370804,1123705,1247099,67.4,66.2,68.4
Puebla,2011,2748611,1215131,1533480,3600323,1657325,1942998,76.3,73.3,78.9
Querétaro,2011,662346,263750,398596,1218004,537663,680341,54.4,49.1,58.6
Quintana Roo,2011,663852,317696,346156,919193,469202,449991,72.2,67.7,76.9
San Luis Potosí,2011,1227728,583342,644386,1665042,811520,853522,73.7,71.9,75.5
Sinaloa,2011,1484403,690761,793642,1866181,902821,963360,79.5,76.5,82.4
