ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Primer Ingreso Mujeres;Egresados Hombres;Egresados Mujeres;Egresados Total;Graduados Hombres;Graduados Mujeres;Graduados Total
AGUASCALIENTES;TOTAL;1484;840;1130;1970;567;248;311;559;133;211;344
AGUASCALIENTES;DOCTORADO EN ARQUITECTURA;0;3;1;4;0;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS BIOLÓGICAS;0;7;13;20;0;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS ECONÓMICAS Y ADMINISTRATIVAS;0;6;2;8;0;9;12;21;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS EN LOS ÁMBITOS ANTRÓPICOS;10;5;5;10;1;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS EXACTAS Y SISTEMAS DE INFORMACIÓN;0;4;1;5;0;1;1;2;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS SOCIALES Y HUMANIDADES;30;13;18;31;10;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN CIENCIAS TECNOLÓGICAS, AGRÍCOLAS, PECUARIAS Y DE ALIMENTOS;0;1;0;1;0;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN DERECHO;0;9;4;13;4;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN DERECHO INTERINSTITUCIONAL;0;3;0;3;0;0;0;0;0;0;0
AGUASCALIENTES;DOCTORADO EN PSICOLOGÍA;0;0;1;1;0;0;0;0;0;0;0
AGUASCALIENTES;ESPECIALIDAD EN DESARROLLO DEL CAPITAL HUMANO;35;12;16;28;16;8;14;22;0;0;0
AGUASCALIENTES;ESPECIALIDAD EN DIRECCIÓN DE OPERACIONES;30;26;7;33;7;18;10;28;0;0;0
AGUASCALIENTES;ESPECIALIDAD EN EL USO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0;1;0;1;0;1;0;1;1;0;1
AGUASCALIENTES;ESPECIALIDAD EN FINANZAS;25;9;7;16;7;19;0;19;1;1;2
AGUASCALIENTES;ESPECIALIDAD EN IMPUESTOS;30;18;10;28;10;10;28;38;2;10;12
AGUASCALIENTES;ESPECIALIDAD EN NECESIDADES EDUCATIVAS ESPECIALES;35;9;19;28;19;1;13;14;0;10;10
AGUASCALIENTES;ESPECIALIDAD EN NEGOCIOS ELECTRÓNICOS;15;1;0;1;0;2;0;2;4;0;4
AGUASCALIENTES;ESPECIALIDAD EN ROBÓTICA;15;6;0;6;0;19;2;21;0;0;0
AGUASCALIENTES;MAESTRÍA EN ADMINISTRACIÓN;5;14;6;20;2;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN ADMINISTRACIÓN DE IMPUESTOS;0;0;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS;40;27;23;50;11;3;2;5;3;2;5
AGUASCALIENTES;MAESTRÍA EN AMPARO;0;0;0;0;0;0;0;0;6;2;8
AGUASCALIENTES;MAESTRÍA EN ARTE CONTEMPORÁNEO;20;13;15;28;7;5;6;11;0;0;0
AGUASCALIENTES;MAESTRÍA EN ARTES;0;0;0;0;0;0;9;9;0;0;0
AGUASCALIENTES;MAESTRÍA EN BIOTECNOLOGÍA AGROPECUARIA;15;14;9;23;5;5;1;6;5;2;7
AGUASCALIENTES;MAESTRÍA EN CIENCIAS;53;23;5;28;2;7;0;7;2;0;2
AGUASCALIENTES;MAESTRÍA EN CIENCIAS BIOMÉDICAS;0;6;12;18;0;0;1;1;0;0;0
AGUASCALIENTES;MAESTRÍA EN CIENCIAS COMPUTACIÓN, MATEMÁTICAS APLICADAS;20;7;2;9;2;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN CIENCIAS DE LA ADMINISTRACIÓN;15;22;11;33;5;0;2;2;0;2;2
AGUASCALIENTES;MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN;20;50;83;133;13;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN CIENCIAS ECONÓMICAS Y ADMINISTRATIVAS;0;22;11;33;0;9;12;21;0;0;0
AGUASCALIENTES;MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA;15;7;7;14;2;3;1;4;3;1;4
AGUASCALIENTES;MAESTRÍA EN CIENCIAS PENALES;0;1;0;1;0;3;0;3;0;0;0
AGUASCALIENTES;MAESTRÍA EN CIENCIAS: BIOLOGÍA VEGETAL Y TOXICOLOGÍA;0;7;9;16;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN COMERCIO EXTERIOR;5;7;8;15;2;2;1;3;2;1;3
AGUASCALIENTES;MAESTRÍA EN COMUNICACIÓN ESTRATÉGICA E IMAGEN INSTITUCIONAL;20;15;10;25;3;3;4;7;0;0;0
AGUASCALIENTES;MAESTRÍA EN CRIMINALÍSTICA;30;8;17;25;17;7;15;22;5;9;14
AGUASCALIENTES;MAESTRÍA EN CRIMINOLOGÍA;25;7;12;19;7;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN DERECHO;25;19;17;36;17;3;4;7;3;4;7
AGUASCALIENTES;MAESTRÍA EN DERECHO ELECTORAL;0;0;0;0;0;0;0;0;8;3;11
AGUASCALIENTES;MAESTRÍA EN DERECHO FISCAL;0;0;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN DESARROLLO ORGANIZACIONAL Y HUMANO;15;3;7;10;0;0;0;0;2;9;11
AGUASCALIENTES;MAESTRÍA EN DESARROLLO Y DIRECCIÓN DEL CAPITAL HUMANO;25;3;9;12;9;5;7;12;1;5;6
AGUASCALIENTES;MAESTRÍA EN EDUCACIÓN;170;113;228;341;110;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN EDUCACIÓN CAMPO FORMACIÓN DOCENTE;0;0;4;4;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN EDUCACIÓN FAMILIAR;35;8;59;67;29;4;19;23;5;12;17
AGUASCALIENTES;MAESTRÍA EN EDUCACIÓN: CAMPO PRÁCTICA DOCENTE;1;16;20;36;5;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN ENSEÑANZA DE LAS MATEMÁTICAS;35;15;9;24;0;5;0;5;2;2;4
AGUASCALIENTES;MAESTRÍA EN ENSEÑANZA SUPERIOR;35;15;33;48;21;5;15;20;5;11;16
AGUASCALIENTES;MAESTRÍA EN FISCAL;15;4;5;9;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN GESTIÓN DIRECTIVA DE INSTITUCIONES EDUCATIVAS;130;44;86;130;86;20;40;60;19;37;56
AGUASCALIENTES;MAESTRÍA EN GESTIÓN Y DIRECCIÓN DE CENTROS EDUCATIVOS;35;10;27;37;21;3;11;14;0;0;0
AGUASCALIENTES;MAESTRÍA EN IMPUESTOS;30;12;14;26;14;10;28;38;11;19;30
AGUASCALIENTES;MAESTRÍA EN INFORMÁTICA Y TECNOLOGÍAS COMPUTACIONALES;35;15;4;19;2;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN INGENIERÍA;20;12;1;13;0;5;0;5;2;0;2
AGUASCALIENTES;MAESTRÍA EN INGENIERÍA CIVIL;60;22;5;27;5;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN INGENIERÍA ELÉCTRICA;15;18;3;21;2;4;0;4;4;0;4
AGUASCALIENTES;MAESTRÍA EN INGENIERÍA INDUSTRIAL;0;0;0;0;0;0;0;0;1;0;1
AGUASCALIENTES;MAESTRÍA EN INVESTIGACIÓN EDUCATIVA;20;4;11;15;11;0;0;0;4;9;13
AGUASCALIENTES;MAESTRÍA EN INVESTIGACIONES BIOMÉDICAS;30;7;4;11;4;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN INVESTIGACIONES SOCIALES Y HUMANIDADES;0;4;3;7;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN JUICIO DE AMPARO;0;0;0;0;0;0;0;0;2;1;3
AGUASCALIENTES;MAESTRÍA EN MERCADOTECNIA;25;10;13;23;3;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN NUTRICIÓN CLÍNICA;30;8;31;39;6;0;0;0;2;2;4
AGUASCALIENTES;MAESTRÍA EN PROPIEDAD INDUSTRIAL, DERECHOS DE AUTOR Y NUEVAS TECNOLOGÍAS;20;11;3;14;3;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN PROTECCIÓN LEGAL Y FISCAL DEL PATRIMONIO;0;0;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN PSICOLOGÍA HUMANISTA;0;0;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN PSICOTERAPIA GESTALT;70;39;98;137;34;16;28;44;19;37;56
AGUASCALIENTES;MAESTRÍA EN PSICOTERAPIA GESTALT INFANTIL;55;22;75;97;31;12;22;34;9;20;29
AGUASCALIENTES;MAESTRÍA EN TECNOLOGÍAS DE LA INFORMACIÓN;15;17;8;25;2;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN TERAPIA FAMILIAR SISTÉMICA;30;6;9;15;0;0;0;0;0;0;0
AGUASCALIENTES;MAESTRÍA EN VALUACIÓN;0;0;0;0;0;21;3;24;0;0;0
BAJA CALIFORNIA;TOTAL;2578;3129;3728;6857;1111;701;961;1662;585;750;1335
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS ADMINISTRATIVAS;0;16;19;35;0;1;0;1;1;0;1
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS AGROPECUARIAS;4;24;15;39;3;0;0;0;2;0;2
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS DE LA EDUCACIÓN;10;6;6;12;1;0;0;0;1;1;2
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS DE LA SALUD;2;5;26;31;2;1;0;1;3;2;5
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS E INGENIERÍA;6;95;76;171;5;0;0;0;15;10;25
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS ECONÓMICAS;8;14;5;19;3;0;0;0;9;2;11
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EDUCATIVAS;0;3;9;12;0;0;0;0;1;0;1
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN ACUICULTURA;0;4;2;6;0;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN CIENCIAS DE LA COMPUTACIÓN;5;22;2;24;0;4;0;4;0;0;0
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN CIENCIAS DE LA TIERRA;3;9;9;18;1;1;0;1;0;0;0
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN CIENCIAS DE LA VIDA;2;8;9;17;1;0;1;1;0;0;0
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN ECOLOGÍA MARINA;2;5;5;10;0;1;0;1;0;0;0
