ENTIDAD FEDERATIVA;NIVEL DE ESTUDIOS;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;;TOTAL;2337;1749;4086;726;582;1308;692;505;1197;437;339;776
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ANTROPOLOGÍA FILOSÓFICA;23;21;44;8;12;20;0;0;0;11;11;22
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN COMERCIO Y FINANZAS INTERNACIONALES;1;1;2;0;0;0;0;0;0;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN DESARROLLO DEL CAPITAL HUMANO;2;0;2;2;0;2;5;4;9;2;0;2
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN DIRECCIÓN DE OPERACIONES;10;29;39;10;27;37;6;19;25;13;18;31
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN EFICIENCIA ENERGÉTICA Y DOMÓTICA;7;10;17;7;10;17;2;5;7;5;5;10
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ENDODONCIA;7;4;11;5;2;7;1;0;1;1;0;1
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN ENFERMERÍA EN TERAPIA INTENSIVA;65;17;82;19;6;25;25;5;30;36;10;46
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN FINANZAS;11;10;21;8;3;11;12;5;17;3;7;10
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN IMPUESTOS;31;18;49;20;16;36;21;16;37;3;3;6
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN IMPUESTOS INTERNACIONALES;2;2;4;0;0;0;2;2;4;0;0;0
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN INNOVACIÓN BIOINTERACTIVA;11;8;19;11;8;19;13;5;18;2;2;4
AGUASCALIENTES;ESPECIALIDAD;ESPECIALIDAD EN MERCADOTECNIA INTERNACIONAL;0;0;0;0;0;0;2;6;8;1;1;2
