
Entidad,Año,%_mujeres
Nacional,2006,22.42
Aguascalientes,2006,21.79
Baja California,2006,24.48
Baja California Sur,2006,27.14
Campeche,2006,24
Coahuila de Zaragoza,2006,24.02
Colima,2006,28.31
Chiapas,2006,19.39
Chihuahua,2006,21.66
Ciudad de México,2006,22.76
Durango,2006,17.47
Guanajuato,2006,22.94
Guerrero,2006,16.66
Hidalgo,2006,28.09
Jalisco,2006,18.48
México,2006,26.95
Michoacán de Ocampo,2006,15.02
Morelos,2006,21.72
Nayarit,2006,18.73
Nuevo León,2006,24.95
Oaxaca,2006,19.01
Puebla,2006,17.63
Querétaro,2006,23.81
Quintana Roo,2006,30.95
San Luis Potosí,2006,25.7
Sinaloa,2006,15.09
Sonora,2006,24.64
Tabasco,2006,29.88
Tamaulipas,2006,25.47
Tlaxcala,2006,22.61
Veracruz de Ignacio de la Llave,2006,20.35
Yucatán,2006,27.99
Zacatecas,2006,20.6
Nacional,2011,22.23
Aguascalientes,2011,22.43
Baja California,2011,27.07
Baja California Sur,2011,19.5
Campeche,2011,24.97
Coahuila de Zaragoza,2011,22.01
Colima,2011,24.92
Chiapas,2011,21.88
Chihuahua,2011,24.84
Ciudad de México,2011,23.87
Durango,2011,17.59
Guanajuato,2011,20.63
Guerrero,2011,15.04
Hidalgo,2011,23.51
Jalisco,2011,19.53
México,2011,20.91
Michoacán de Ocampo,2011,16.74
Morelos,2011,22.18
Nayarit,2011,17.37
Nuevo León,2011,31.09
Oaxaca,2011,21.53
Puebla,2011,21.6
Querétaro,2011,24.9
Quintana Roo,2011,27.81
San Luis Potosí,2011,22.2
Sinaloa,2011,20.77
Sonora,2011,26.06
Tabasco,2011,29.42
Tamaulipas,2011,24.46
Tlaxcala,2011,20.5
Veracruz de Ignacio de la Llave,2011,22.22
Yucatán,2011,28.47
Zacatecas,2011,19.95
Nacional,2016,20
Aguascalientes,2016,24
Baja California,2016,21.1
Baja California Sur,2016,24
Campeche,2016,23.1
Chiapas,2016,18.2
Chihuahua,2016,21.8
Ciudad de México,2016,23.4
Coahuila de Zaragoza,2016,23.3
Colima,2016,21.5
Durango,2016,18.2
Estado de México,2016,19.4
Guanajuato,2016,24.1
Guerrero,2016,17.9
Hidalgo,2016,23
Jalisco,2016,20.9
Michoacán de Ocampo,2016,16.9
Morelos,2016,17.8
Nayarit,2016,15.9
Nuevo Leon,2016,22.8
Oaxaca,2016,15.9
Puebla,2016,17.3
Querétaro,2016,25.1
Quintana Roo,2016,22.2
San Luis Potosí,2016,20.6
Sinaloa,2016,17.5
Sonora,2016,20.5
Tabasco,2016,22.2
Tamaulipas,2016,22.9
Tlaxcala,2016,21.1
Veracruz de Ignacio de la Llave,2016,13.6
Yucatán,2016,25
Zacatecas,2016,17.5
