
Entidad,Año,%_mujeres
Nacional,2006,52.04
Aguascalientes,2006,54.09
Baja California,2006,45.54
Baja California Sur,2006,44.17
Campeche,2006,42.95
Coahuila de Zaragoza,2006,45.04
Colima,2006,55.03
Chiapas,2006,31.26
Chihuahua,2006,50.13
Ciudad de México,2006,67.17
Durango,2006,51.35
Guanajuato,2006,46.48
Guerrero,2006,43.31
Hidalgo,2006,40.28
Jalisco,2006,60.34
México,2006,65.39
Michoacán de Ocampo,2006,48.03
Morelos,2006,52.95
Nayarit,2006,45.42
Nuevo León,2006,49.99
Oaxaca,2006,46.33
Puebla,2006,54.28
Querétaro,2006,50.36
Quintana Roo,2006,52.20
San Luis Potosí,2006,44.63
Sinaloa,2006,44.14
Sonora,2006,50.92
Tabasco,2006,49.73
Tamaulipas,2006,45.59
Tlaxcala,2006,44.16
Veracruz de Ignacio de la Llave,2006,48.47
Yucatán,2006,43.90
Zacatecas,2006,41.59
Nacional,2011,41.39
Aguascalientes,2011,41.40
Baja California,2011,43.82
Baja California Sur,2011,33.97
Campeche,2011,36.79
Coahuila de Zaragoza,2011,34.08
Colima,2011,41.63
Chiapas,2011,25.53
Chihuahua,2011,42.57
Ciudad de México,2011,56.89
Durango,2011,35.33
Guanajuato,2011,39.42
Guerrero,2011,32.95
Hidalgo,2011,32.83
Jalisco,2011,41.94
México,2011,52.55
Michoacán de Ocampo,2011,38.48
Morelos,2011,39.85
Nayarit,2011,39.19
Nuevo León,2011,40.16
Oaxaca,2011,34.61
Puebla,2011,39.91
Querétaro,2011,40.35
Quintana Roo,2011,40.88
San Luis Potosí,2011,39.40
Sinaloa,2011,30.14
Sonora,2011,40.93
Tabasco,2011,35.59
Tamaulipas,2011,32.45
Tlaxcala,2011,37.41
Veracruz de Ignacio de la Llave,2011,40.23
Yucatán,2011,38.39
Zacatecas,2011,35.05
Nacional,2016,52.74
Aguascalientes,2016,59.14
Baja California,2016,51.13
Baja California Sur,2016,40.26
Campeche,2016,41.22
Coahuila de Zaragoza,2016,50.84
Colima,2016,47.62
Chiapas,2016,38.99
Chihuahua,2016,51.89
Ciudad de México,2016,70.81
Durango,2016,51.35
Guanajuato,2016,52.41
Guerrero,2016,41.78
Hidalgo,2016,49.28
Jalisco,2016,61.29
México,2016,63.03
Michoacán de Ocampo,2016,49.25
Morelos,2016,51.40
Nayarit,2016,42.63
Nuevo León,2016,46.62
Oaxaca,2016,46.82
Puebla,2016,50.09
Querétaro,2016,58.30
Quintana Roo,2016,52.65
San Luis Potosí,2016,46.03
Sinaloa,2016,43.65
Sonora,2016,46.18
Tabasco,2016,43.34
Tamaulipas,2016,44.51
Tlaxcala,2016,47.31
Veracruz de Ignacio de la Llave,2016,46.74
Yucatán,2016,52.61
Zacatecas,2016,43.88
