
Entidad,Año,%_mujeres
Nacional,2006,66.95
Aguascalientes,2006,70.47
Baja California,2006,61.76
Baja California Sur,2006,59.36
Campeche,2006,59.45
Coahuila de Zaragoza,2006,59.21
Colima,2006,74.09
Chiapas,2006,48.55
Chihuahua,2006,68.40
Ciudad de México,2006,76.78
Durango,2006,69.99
Guanajuato,2006,58.79
Guerrero,2006,61.55
Hidalgo,2006,58.26
Jalisco,2006,78.29
México,2006,78.04
Michoacán de Ocampo,2006,63.34
Morelos,2006,69.27
Nayarit,2006,63.73
Nuevo León,2006,63.42
Oaxaca,2006,61.18
Puebla,2006,69.85
Querétaro,2006,66.04
Quintana Roo,2006,66.59
San Luis Potosí,2006,60.61
Sinaloa,2006,61.81
Sonora,2006,68.79
Tabasco,2006,66.22
Tamaulipas,2006,62.95
Tlaxcala,2006,59.29
Veracruz de Ignacio de la Llave,2006,61.89
Yucatán,2006,60.04
Zacatecas,2006,57.38
Nacional,2011,62.77
Aguascalientes,2011,63.12
Baja California,2011,66.22
Baja California Sur,2011,55.92
Campeche,2011,59.06
Coahuila de Zaragoza,2011,58.60
Colima,2011,64.82
Chiapas,2011,43.53
Chihuahua,2011,68.76
Ciudad de México,2011,72.15
Durango,2011,55.78
Guanajuato,2011,56.24
Guerrero,2011,54.05
Hidalgo,2011,54.78
Jalisco,2011,64.49
México,2011,73.42
Michoacán de Ocampo,2011,59.64
Morelos,2011,63.61
Nayarit,2011,67.36
Nuevo León,2011,62.39
Oaxaca,2011,55.65
Puebla,2011,62.83
Querétaro,2011,60.43
Quintana Roo,2011,63.56
San Luis Potosí,2011,59.57
Sinaloa,2011,56.52
Sonora,2011,68.10
Tabasco,2011,55.66
Tamaulipas,2011,56.95
Tlaxcala,2011,61.92
Veracruz de Ignacio de la Llave,2011,62.01
Yucatán,2011,61.49
Zacatecas,2011,57.90
Nacional,2016,66.13
Aguascalientes,2016,73.28
Baja California,2016,66.18
Baja California Sur,2016,55.38
Campeche,2016,53.55
Coahuila de Zaragoza,2016,66.32
Colima,2016,62.05
Chiapas,2016,52.40
Chihuahua,2016,68.82
Ciudad de México,2016,79.84
Durango,2016,66.62
Guanajuato,2016,63.22
Guerrero,2016,57.51
Hidalgo,2016,63.51
Jalisco,2016,74.13
México,2016,75.34
Michoacán de Ocampo,2016,65.46
Morelos,2016,64.90
Nayarit,2016,58.13
Nuevo León,2016,59.26
Oaxaca,2016,63.75
Puebla,2016,64.28
Querétaro,2016,71.15
Quintana Roo,2016,64.66
San Luis Potosí,2016,56.75
Sinaloa,2016,59.15
Sonora,2016,61.13
Tabasco,2016,55.76
Tamaulipas,2016,57.79
Tlaxcala,2016,61.22
Veracruz de Ignacio de la Llave,2016,60.95
Yucatán,2016,66.83
Zacatecas,2016,59.05
