
Entidad,Año,%_mujeres
Nacional,2006,21.76
Aguascalientes,2006,20.61
Baja California,2006,16.99
Baja California Sur,2006,16.92
Campeche,2006,19.11
Coahuila de Zaragoza,2006,17.56
Colima,2006,23.38
Chiapas,2006,15.79
Chihuahua,2006,20.40
Ciudad de México,2006,22.32
Durango,2006,22.76
Guanajuato,2006,18.36
Guerrero,2006,25.45
Hidalgo,2006,21.46
Jalisco,2006,24.03
México,2006,27.59
Michoacán de Ocampo,2006,21.24
Morelos,2006,23.59
Nayarit,2006,20.21
Nuevo León,2006,15.71
Oaxaca,2006,24.99
Puebla,2006,25.27
Querétaro,2006,18.96
Quintana Roo,2006,23.27
San Luis Potosí,2006,19.11
Sinaloa,2006,17.09
Sonora,2006,17.56
Tabasco,2006,28.24
Tamaulipas,2006,15.33
Tlaxcala,2006,21.57
Veracruz de Ignacio de la Llave,2006,21.55
Yucatán,2006,20.35
Zacatecas,2006,20.11
Nacional,2011,16.26
Aguascalientes,2011,15.48
Baja California,2011,13.07
Baja California Sur,2011,14.18
Campeche,2011,17.85
Coahuila de Zaragoza,2011,13.26
Colima,2011,18.83
Chiapas,2011,12.73
Chihuahua,2011,16.77
Ciudad de México,2011,15.83
Durango,2011,16.21
Guanajuato,2011,16.35
Guerrero,2011,17.48
Hidalgo,2011,16.97
Jalisco,2011,15.08
México,2011,18.73
Michoacán de Ocampo,2011,17.41
Morelos,2011,17.59
Nayarit,2011,17.44
Nuevo León,2011,13.50
Oaxaca,2011,17.46
Puebla,2011,17.90
Querétaro,2011,15.62
Quintana Roo,2011,16.30
San Luis Potosí,2011,18.33
Sinaloa,2011,12.03
Sonora,2011,13.55
Tabasco,2011,15.18
Tamaulipas,2011,13.70
Tlaxcala,2011,16.91
Veracruz de Ignacio de la Llave,2011,17.92
Yucatán,2011,16.18
Zacatecas,2011,17.47
Nacional,2016,19.37
Aguascalientes,2016,19.92
Baja California,2016,14.43
Baja California Sur,2016,14.05
Campeche,2016,16.68
Coahuila de Zaragoza,2016,18.32
Colima,2016,17.79
Chiapas,2016,17.99
Chihuahua,2016,17.59
Ciudad de México,2016,20.64
Durango,2016,19.67
Guanajuato,2016,18.59
Guerrero,2016,21.86
Hidalgo,2016,21.41
Jalisco,2016,19.38
México,2016,23.12
Michoacán de Ocampo,2016,19.58
Morelos,2016,20.61
Nayarit,2016,16.83
Nuevo León,2016,13.38
Oaxaca,2016,22.01
Puebla,2016,20.36
Querétaro,2016,17.53
Quintana Roo,2016,18.97
San Luis Potosí,2016,19.50
Sinaloa,2016,15.02
Sonora,2016,13.51
Tabasco,2016,21.35
Tamaulipas,2016,15.00
Tlaxcala,2016,21.44
Veracruz de Ignacio de la Llave,2016,20.15
Yucatán,2016,20.58
Zacatecas,2016,17.80
