
Entidad federativa,Indicador,2006,2011,2016
Nacional,Con violencia de pareja,48.7,49.3,46.0
Nacional,Sin daños,33.7,39.7,47.2
Nacional,Con daños emocionales,40.3,36.3,30.2
Nacional,Con daños físicos y emocionales,25.0,21.3,19.4
Aguascalientes,Con violencia de pareja,51.9,49.1,53.2
Aguascalientes,Sin daños,27.6,35.1,40.2
Aguascalientes,Con daños emocionales,45.9,39.6,35.6
Aguascalientes,Con daños físicos y emocionales,26.0,23.2,21.7
Baja California,Con violencia de pareja,37.7,43.8,37.2
Baja California,Sin daños,40.3,41.2,46.4
Baja California,Con daños emocionales,36.1,36.0,30.9
Baja California,Con daños físicos y emocionales,21.4,19.1,19.0
Baja California Sur,Con violencia de pareja,38.2,40.3,37.7
Baja California Sur,Sin daños,38.0,39.9,50.7
Baja California Sur,Con daños emocionales,36.2,33.0,29.0
Baja California Sur,Con daños físicos y emocionales,23.4,21.7,16.9
Campeche,Con violencia de pareja,41.7,48.9,34.0
Campeche,Sin daños,43.3,40.8,46.2
Campeche,Con daños emocionales,31.7,34.5,25.1
Campeche,Con daños físicos y emocionales,24.0,20.8,19.8
Coahuila de Zaragoza,Con violencia de pareja,36.7,40.8,43.5
Coahuila de Zaragoza,Sin daños,36.3,39.8,43.1
Coahuila de Zaragoza,Con daños emocionales,32.5,35.4,34.9
Coahuila de Zaragoza,Con daños físicos y emocionales,29.7,21.5,19.2
Colima,Con violencia de pareja,59.5,55.1,43.5
Colima,Sin daños,34.7,35.1,48.1
Colima,Con daños emocionales,42.6,40.4,29.6
Colima,Con daños físicos y emocionales,22.1,21.9,18.0
Chiapas,Con violencia de pareja,37.9,32.2,36.2
Chiapas,Sin daños,45.5,33.6,46.7
Chiapas,Con daños emocionales,34.5,33.8,27.7
Chiapas,Con daños físicos y emocionales,18.9,25.9,22.7
Chihuahua,Con violencia de pareja,49.0,49.6,45.4
Chihuahua,Sin daños,31.3,38.5,49.3
Chihuahua,Con daños emocionales,43.6,36.6,28.7
Chihuahua,Con daños físicos y emocionales,22.9,21.1,17.8
Ciudad de México,Con violencia de pareja,48.2,55.8,56.3
Ciudad de México,Sin daños,34.5,47.9,45.9
Ciudad de México,Con daños emocionales,38.2,30.3,32.4
Ciudad de México,Con daños físicos y emocionales,25.6,20.3,19.8
Durango,Con violencia de pareja,55.5,42.1,46.8
Durango,Sin daños,33.1,34.7,51.9
Durango,Con daños emocionales,42.4,39.4,24.8
Durango,Con daños físicos y emocionales,24.1,20.6,19.4
Guanajuato,Con violencia de pareja,39.4,41.6,39.3
Guanajuato,Sin daños,26.3,33.5,42.3
Guanajuato,Con daños emocionales,40.9,35.3,27.3
Guanajuato,Con daños físicos y emocionales,30.0,27.8,26.2
Guerrero,Con violencia de pareja,48.8,46.4,46.5
Guerrero,Sin daños,33.2,38.5,51.2
Guerrero,Con daños emocionales,37.4,32.7,23.8
Guerrero,Con daños físicos y emocionales,27.8,25.6,21.6
Hidalgo,Con violencia de pareja,49.7,46.5,46.0
Hidalgo,Sin daños,31.6,33.4,44.8
Hidalgo,Con daños emocionales,40.6,38.4,30.0
Hidalgo,Con daños físicos y emocionales,27.3,24.2,21.4
Jalisco,Con violencia de pareja,61.2,49.0,50.9
Jalisco,Sin daños,25.5,37.9,47.5
Jalisco,Con daños emocionales,51.6,40.8,30.5
Jalisco,Con daños físicos y emocionales,22.9,18.8,18.8
